CONC	GIPROP
0.00000001	1.073
0.00000001	0.8435
0.00000001	0.972
0.00000001	0.9381
0.00000001	1.018
0.00000001	0.9923
0.00000001	0.9143
0.00000001	0.974
0.00000001	1
0.0000001	0.8655
0.0000001	0.828
0.0000001	0.8329
0.0000001	1.03
0.0000001	0.8547
0.0000001	1
0.0000001	0.9287
0.0000001	0.9675
0.0000001	0.972
0.000001	0.7425
0.000001	0.7145
0.000001	0.7842
0.000001	0.8472
0.000001	0.8617
0.000001	0.8809
0.000001	0.89
0.000001	0.813
0.000001	0.7425
0.00001	0.1233
0.00001	0.3432
0.00001	0.6333
0.00001	0.381
0.00001	0.2107
0.00001	0.2567
0.00001	0.31
0.00001	0.327
0.00001	0.1809
0.0001	0.1232
0.0001	0.167
0.0001	0.5094
0.0001	0.1873
0.0001	0.09694
0.0001	0.0382
0.0001	0.06592
0.0001	0.1031
0.0001	0.052
