cell	conc	resp
Hurrycane	1.00E-08	1.226316143
Hurrycane	1.00E-07	0.931568763
Hurrycane	1.00E-06	0.527434482
Hurrycane	1.00E-05	0.342868146
Hurrycane	1.00E-04	0.077712851
Hurrycane	0.001	-0.188956597
Hurrycane	0.01	-0.10295328
Hurrycane	0.1	-0.066842356
Hurrycane	1.00E-08	1.176122165
Hurrycane	1.00E-07	0.974964578
Hurrycane	1.00E-06	0.568157039
Hurrycane	1.00E-05	0.102210805
Hurrycane	1.00E-04	-0.07480075
Hurrycane	0.001	0.268839559
Hurrycane	0.01	0.074752219
Hurrycane	0.1	-0.294985634
Hurrycane	1.00E-08	1.097713281
Hurrycane	1.00E-07	0.850073793
Hurrycane	1.00E-06	0.347867766
Hurrycane	1.00E-05	0.05291216
Hurrycane	1.00E-04	-0.145325247
Hurrycane	0.001	-0.108531096
Hurrycane	0.01	-0.093681243
Hurrycane	0.1	-0.252997058
MummyHunter	1.00E-08	0.82905986
MummyHunter	1.00E-07	1.186264371
MummyHunter	1.00E-06	1.049254029
MummyHunter	1.00E-05	0.846015133
MummyHunter	1.00E-04	0.628981497
MummyHunter	0.001	0.236252425
MummyHunter	0.01	0.136820743
MummyHunter	0.1	0.104911859
MummyHunter	1.00E-08	1.082868049
MummyHunter	1.00E-07	0.988905376
MummyHunter	1.00E-06	0.939389996
MummyHunter	1.00E-05	0.833205205
MummyHunter	1.00E-04	0.390506601
MummyHunter	0.001	0.07334481
MummyHunter	0.01	-0.176225872
MummyHunter	0.1	0.326959215
MummyHunter	1.00E-08	1.180974701
MummyHunter	1.00E-07	0.829725845
MummyHunter	1.00E-06	0.92485167
MummyHunter	1.00E-05	0.820277552
MummyHunter	1.00E-04	0.611707415
MummyHunter	0.001	0.092027042
MummyHunter	0.01	0.051581358
MummyHunter	0.1	-0.002666193
easyRider	1.00E-08	0.966133281
easyRider	1.00E-07	1.22745977
easyRider	1.00E-06	0.767577806
easyRider	1.00E-05	1.086589519
easyRider	1.00E-04	1.007547357
easyRider	0.001	0.930612619
easyRider	0.01	0.511694103
easyRider	0.1	-0.010537418
easyRider	1.00E-08	0.950017821
easyRider	1.00E-07	0.847202872
easyRider	1.00E-06	0.839122043
easyRider	1.00E-05	1.044426753
easyRider	1.00E-04	1.056200687
easyRider	0.001	0.906172018
easyRider	0.01	0.593088301
easyRider	0.1	0.372323802
easyRider	1.00E-08	0.926344254
easyRider	1.00E-07	0.653613848
easyRider	1.00E-06	1.150751505
easyRider	1.00E-05	0.892517342
easyRider	1.00E-04	0.885767928
easyRider	0.001	1.052057089
easyRider	0.01	0.41203223
easyRider	0.1	-0.118296557
